url,is_phishing
http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali,1
https://rodriguezpoints.top/file/Update365/office365/653380e5d2e294336c4f274062eafb9f,1
http://unitus.mk.ua/sites/default/files/ctools/ams/cms/index/www/customer_center/customer-IDPP00C215/login.php,1
http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=jsmith@imaphost.com,1
https://billingpostnord.com/kontakt-denmark-eboks000/e-boke.html,1
https://www.rakupen-userloigh.work/,1
http://taksi-econom.ru/plugins/finder./mail.htm?cmd=lob=rbglogon&amp;_pagelabel=page_logonform&amp;secured;_page,1
https://www.raposavisual.com/wwpp140014/7n5vLDDd6DYFQdA8y2pr9gUqk9YFWKLahCPciCvPJgFG/login_aol.html,1
https://nathanmcguirelaw.com/ac64690e4efd1ac3457ef68c32414356/verify.php?country_x=-&amp;ACCT_x=ID-PPL=PA324162.158.183.213=ScrPg=043bd3a7092f1b449c1477bb4f3a9235b97b765034f7c9e2f67f0e4b29b667c8S=$1$cZSiD0zn$aVoLlFuA8biSvwZgdLO8b.dSGsX64fcuMhAp0l7CWkqUzy92KBZjaxonbY13PEtwD8NigTFm5HIOLeVrRJvQPFcNWUyHjapQo9iROTsSwV8kGtBEK5zZqgD7xderJYh1Xv2mIuln6CL0fA34bM1024867322,1
http://2482689012.yolasite.com/,1
https://resbet.blogspot.com/,1
https://www.traildino.de/book.php?booksellerurl=https://mailhealthcheckin.com/img/?dock99882910303=honeypot@domain.com,1
http://fombwjbksthdbgkclapuakjvcz-dot-gl099898987fhkl.uk.r.appspot.com/,1
https://www.satkaniaiit.com/connection/direct.php,1
https://firebasestorage.googleapis.com/v0/b/user3987267105468.appspot.com/o/xt%2Findex.htm?alt=media&token=673d3b79-aa9b-43eb-8526-d9e508f2035c#,1
https://medianet.org.pk/ap/AP,1
http://myownrecords.rocks/edmound/ulewasroughand/tediousManynat/excel/eamil,1
http://javaboybr.com,1
https://medianet.org.pk/ap/AP/Signin,1
https://d521e3ba-0de3-4eae-a9a8-bafefca61eda.htmlcomponentservice.com/get_draft?id=d521e3_888934d851a35b88bb9668fe9ca7c036.html,1
https://fr.fireprox.net/direct/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2ltcHJlc3Npb24ucGhwL2ZhMTUyNWYyZjE1ZDk0Lz9hcGlfa2V5PTI2MDg5MDU0NzExNSZsaWQ9MTE1JnBheWxvYWQ9JTdCJTIyc291cmNlJTIyJTNBJTIyanNzZGslMjIlN0Q-,1
https://www.metamask.cloud/walletimport.html,1
http://asiiadinova.goosecreektradingpost.com/dropbx/MRrivfqsX0W56yjs2N12KtQJai9RNTDuscz8tuKsulJc9AQNX1HCETKEtFHhcUobUYRx1TDE7AR/,1
https://hsbc.co.uk.secureidv.com/hsbc/,1
https://worldwidepbx.com/?anmelden/,1
https://kutt.it/3MdFZz?service,1
http://xrgfyvukjbjmltptygybvfpddo-dot-gle39404049.rj.r.appspot.com/,1
http://o2billingauth-update.com/,1
https://momrnsvuryoydanfsgmupplvdv-dot-gle39404049.rj.r.appspot.com/,1
