,url,is_phishing,blacklist,is_ipaddress,is_at,multi_domain,url_length,yg_domain,bad_cookie,foreign_links,mismatch_favi,no_dns,bad_ssl
0,http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali,1,0,0,0,0,1,0,0,0,0,0,1
1,https://rodriguezpoints.top/file/Update365/office365/653380e5d2e294336c4f274062eafb9f,1,0,0,0,0,1,1,0,0,1,0,1
2,http://unitus.mk.ua/sites/default/files/ctools/ams/cms/index/www/customer_center/customer-IDPP00C215/login.php,1,0,0,0,0,1,0,0,1,0,0,1
3,http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=jsmith@imaphost.com,1,0,0,1,0,1,0,0,0,0,0,1
4,https://billingpostnord.com/kontakt-denmark-eboks000/e-boke.html,1,0,0,0,0,0,1,0,0,0,0,1
5,https://www.rakupen-userloigh.work/,1,0,0,0,0,0,0,0,0,1,1,1
6,http://taksi-econom.ru/plugins/finder./mail.htm?cmd=lob=rbglogon&amp;_pagelabel=page_logonform&amp;secured;_page,1,0,0,0,0,1,0,0,0,1,0,1
7,https://www.raposavisual.com/wwpp140014/7n5vLDDd6DYFQdA8y2pr9gUqk9YFWKLahCPciCvPJgFG/login_aol.html,1,0,0,0,0,1,0,0,1,0,0,1
8,https://nathanmcguirelaw.com/ac64690e4efd1ac3457ef68c32414356/verify.php?country_x=-&amp;ACCT_x=ID-PPL=PA324162.158.183.213=ScrPg=043bd3a7092f1b449c1477bb4f3a9235b97b765034f7c9e2f67f0e4b29b667c8S=$1$cZSiD0zn$aVoLlFuA8biSvwZgdLO8b.dSGsX64fcuMhAp0l7CWkqUzy92KBZjaxonbY13PEtwD8NigTFm5HIOLeVrRJvQPFcNWUyHjapQo9iROTsSwV8kGtBEK5zZqgD7xderJYh1Xv2mIuln6CL0fA34bM1024867322,1,0,0,0,1,1,0,0,0,1,0,1
9,http://2482689012.yolasite.com/,1,0,0,0,0,0,0,0,1,0,0,0
10,https://resbet.blogspot.com/,1,0,0,0,0,0,0,0,1,1,0,0
11,https://www.traildino.de/book.php?booksellerurl=https://mailhealthcheckin.com/img/?dock99882910303=honeypot@domain.com,1,0,0,1,1,1,0,0,0,0,0,1
12,http://fombwjbksthdbgkclapuakjvcz-dot-gl099898987fhkl.uk.r.appspot.com/,1,0,0,0,1,0,0,0,0,0,0,0
13,https://www.satkaniaiit.com/connection/direct.php,1,0,0,0,0,0,0,0,0,1,0,1
14,https://firebasestorage.googleapis.com/v0/b/user3987267105468.appspot.com/o/xt%2Findex.htm?alt=media&token=673d3b79-aa9b-43eb-8526-d9e508f2035c#,1,0,0,0,1,1,0,0,1,1,0,1
15,https://medianet.org.pk/ap/AP,1,0,0,0,0,0,0,0,1,1,0,1
16,http://myownrecords.rocks/edmound/ulewasroughand/tediousManynat/excel/eamil,1,0,0,0,0,1,0,0,0,1,0,1
17,http://javaboybr.com,1,0,0,0,0,0,0,0,0,1,1,1
18,https://medianet.org.pk/ap/AP/Signin,1,0,0,0,0,0,0,0,1,1,0,1
19,https://d521e3ba-0de3-4eae-a9a8-bafefca61eda.htmlcomponentservice.com/get_draft?id=d521e3_888934d851a35b88bb9668fe9ca7c036.html,1,0,0,0,0,1,0,0,0,1,1,1
20,https://fr.fireprox.net/direct/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2ltcHJlc3Npb24ucGhwL2ZhMTUyNWYyZjE1ZDk0Lz9hcGlfa2V5PTI2MDg5MDU0NzExNSZsaWQ9MTE1JnBheWxvYWQ9JTdCJTIyc291cmNlJTIyJTNBJTIyanNzZGslMjIlN0Q-,1,0,0,0,0,1,0,0,0,1,0,1
21,https://www.metamask.cloud/walletimport.html,1,0,0,0,0,0,0,0,0,0,0,1
22,http://asiiadinova.goosecreektradingpost.com/dropbx/MRrivfqsX0W56yjs2N12KtQJai9RNTDuscz8tuKsulJc9AQNX1HCETKEtFHhcUobUYRx1TDE7AR/,1,0,0,0,0,1,0,0,0,0,0,1
23,https://hsbc.co.uk.secureidv.com/hsbc/,1,0,0,0,1,0,1,0,0,1,1,1
24,https://worldwidepbx.com/?anmelden/,1,0,0,0,0,0,1,0,0,0,0,1
25,https://kutt.it/3MdFZz?service,1,0,0,0,0,0,0,0,0,1,0,1
26,http://xrgfyvukjbjmltptygybvfpddo-dot-gle39404049.rj.r.appspot.com/,1,0,0,0,1,0,0,0,0,0,0,0
27,http://o2billingauth-update.com/,1,0,0,0,0,0,1,0,0,1,0,0
28,https://momrnsvuryoydanfsgmupplvdv-dot-gle39404049.rj.r.appspot.com/,1,0,0,0,1,0,0,0,0,0,0,0
29,http://xqr3n.mjt.lu/lnk/AMUAAIywLv0AAAAAAAAAAACryCIAAAAAFKUAAAAAABaYWQBf013r_n-bytrwQca_GRBY_sm9iwAWPsQ/2/oxJAtG2e_XvGrFF9fjjQgg/aHR0cHM6Ly9iaXQubHkvM2d6TGxiVA,1,0,0,0,0,1,0,1,1,0,0,1
30,https://betasus30.blogspot.com/,1,0,0,0,0,0,0,0,1,1,0,0
31,https://4c.vc/7rkpD,1,0,0,0,0,0,0,0,0,1,0,1
32,https://www.cg6.net/wp-content/plugins/akismet/Notostraca/scriptorial_witchwife.html,1,0,0,0,0,1,0,0,0,0,0,1
33,https://bannerb.net/en/,1,0,0,0,0,0,1,0,0,0,0,1
34,https://reurl.cc/oLeEQj,1,0,0,0,0,0,0,0,0,1,0,1
35,https://globalinfohost.com/landingpage/dd263864-38a2-466a-be2f-4e5ec6c5e042/mthzm4r_hzib_ekunll2tnc0tdjldeg0lh9s9kemwws,1,1,0,0,0,1,0,0,0,1,0,1
36,https://rqbkgdzhdmmydqjnaevinoebcr-dot-gle39404049.rj.r.appspot.com/,1,0,0,0,1,0,0,0,0,0,0,0
37,https://mymed.lk/now/sign_in.php?session=343765656665,1,0,0,0,0,0,0,0,0,1,0,1
38,https://fb-security-10000000248533563485219860133-hk.tk/checkpoint_next.php?Facebook_Update=,1,0,0,0,0,1,0,0,0,1,1,1
39,https://s.id/Fb_Login,1,0,0,0,0,0,0,0,0,0,0,1
40,https://drive.google.com/file/d/1cvc0tS0FKRsYX6VnNuYpMOtnH7JkCSln/edit,1,0,0,0,0,0,0,0,0,0,0,1
41,http://promehedinti.ro/wp-admin/js/js/swo/gps/file/,1,0,0,0,0,0,0,0,1,0,0,1
42,http://www.alpha-mail-server2.ddns.info/american-medical,1,0,0,0,0,0,0,1,1,0,0,1
43,https://sswebmail-4w5twsr.web.app/?emailtoken=kotter@tfwno.gf&amp;domain=tfwno.gf,1,0,0,1,1,1,0,0,0,0,0,1
44,https://vertrauenbrokers.com/wp-content/update/browse/75455e062929d32a333868084286bb68,1,0,0,0,0,1,0,0,0,0,0,1
45,http://metrocti.com/gustoreids/us/Ud0Acf9oTUdEr30AcXKr3XKCuohM9YCu/login.html?wJGvXo0GmqDJ46pp29ZpuEo7dbeqeU&Stor=6KEMgCbgixHWhM3Gc6Qc&hl=vkQUs36Guk,1,0,0,0,0,1,0,0,0,1,1,1
46,https://www.httpservlces.runescape.com-ov.ru/,1,0,0,0,1,0,1,0,0,1,0,0
47,http://p1c.servleboncoinser.com/,1,0,0,0,0,0,1,0,0,1,0,0
48,http://www.httpsservlces.runescape.com-fe.ru/,1,0,0,0,1,0,1,0,0,1,0,0
49,https://argus-garage-doors-repair.com/nikio.php,1,0,0,0,0,0,0,0,0,0,0,1
50,http://www.codashop-ph2020.ezua.com/login/facebook/,1,0,0,0,0,0,0,1,1,0,0,1
51,https://crewscontrolmd-my.sharepoint.com/:o:/g/personal/monica_crewscontrol_com/EtsaEAgBPBJBtwZh2TOM1c4B-DGnI3J2cOvr9B9jmKY9NA?e=7PZ8vH,1,0,0,0,0,1,0,0,0,1,0,1
52,https://onedrive.live.com/?authkey=%21AHm9uD6tREmILMY&amp;cid=D3ACF7DB10258474&amp;id=D3ACF7DB10258474%21118&amp;parId=root&amp;o=OneUp,1,0,0,0,0,1,0,0,0,0,0,1
53,https://j.mp/2ZZtIeM?/pages-help.htm,1,0,0,0,0,0,0,1,1,1,0,1
54,https://sites.google.com/view/bt-voice-activation-com/bt-voice-upgrade-com,1,0,0,0,0,1,0,0,0,0,0,1
55,https://clouddoc-authorize.firebaseapp.com/......xx.../...x,1,0,0,0,1,0,0,0,0,0,0,1
56,https://meetingteammicro.azurefd.net/meeting/#stevewilliamson@legalshield.com,1,0,0,1,0,1,0,0,1,0,1,1
57,http://homs.com.br/assest/,1,0,0,0,0,0,0,0,0,0,0,1
58,https://forms.office.com/Pages/ResponsePage.aspx?id=TDTUSTNlHEm59-pmb0_bSiRohC__Jc9LgcDFeK0aqShUMUdJNFIyNEhUUVNOQUUxSThNMEhFMVU3VS4u,1,0,0,0,0,1,0,0,0,1,0,1
